V_G, I_channel0.0,1.42E-07
0.0165,9.10E-08,
0.0335,5.87E-08,
0.05,4.98E-08,
0.0665,3.70E-08,
0.0835,3.28E-08,
0.1,2.91E-08,
0.1165,2.42E-08,
0.1335,2.40E-08,
0.15,1.96E-08,
0.1665,1.73E-08,
0.1835,1.69E-08,
0.2,1.23E-08,
0.2165,1.30E-08,
0.2335,1.29E-08,
0.25,8.30E-09,
0.2665,9.40E-09,
0.2835,1.19E-08,
0.3,1.04E-08,
0.3165,1.08E-08,
0.3335,1.00E-08,
0.35,1.47E-08,
0.3665,1.43E-08,
0.3835,1.90E-08,
0.4,1.87E-08,
0.4165,2.68E-08,
0.4335,3.38E-08,
0.45,5.24E-08,
0.4665,6.94E-08,
0.4835,1.03E-07,
0.5,1.51E-07,
0.5165,2.04E-07,
0.5335,3.26E-07,
0.55,4.74E-07,
0.5665,6.75E-07,
0.5835,9.57E-07,
0.6,1.31E-06,
0.6165,1.77E-06,
0.6335,2.37E-06,
0.65,3.08E-06,
0.6665,3.96E-06,
0.6835,5.02E-06,
0.7,6.23E-06,
0.7165,7.60E-06,
0.7335,9.20E-06,
0.75,1.09E-05,
0.7665,1.29E-05,
0.7835,1.51E-05,
0.8,1.75E-05,
0.8165,1.99E-05,
0.8335,2.28E-05,
0.85,2.57E-05,
0.8665,2.89E-05,
0.8835,3.23E-05,
0.9,3.60E-05,
0.9165,3.99E-05,
0.9335,4.42E-05,
0.95,4.85E-05,
0.9665,5.31E-05,
0.9835,5.79E-05,
1,6.28E-05,
1.0165,6.79E-05,
1.0335,7.35E-05,
1.05,7.91E-05,
1.0665,8.50E-05,
1.0835,9.13E-05,
1.1,9.75E-05,
1.1165,0.0001038,
1.1335,0.0001105,
1.15,0.0001173,
1.1665,0.0001244,
1.1835,0.000132,
1.2,0.0001395,
1.2165,0.0001472,
1.2335,0.0001553,
1.25,0.0001633,
1.2665,0.0001716,
1.2835,0.0001803,
1.3,0.000189,
1.3165,0.0001978,
1.3335,0.000209,
1.35,0.000218,
1.3665,0.000227,
1.3835,0.000237,
1.4,0.000247,
1.4165,0.000257,
1.4335,0.000267,
1.45,0.000278,
1.4665,0.000288,
1.4835,0.000299,
1.5,0.00031,
1.5165,0.000322,
1.5335,0.000333,
1.55,0.000345,
1.5665,0.000357,
1.5835,0.00037,
1.6,0.000382,
1.6165,0.000394,
1.6335,0.000406,
1.65,0.000419,
1.6665,0.000432,
1.6835,0.000445,
1.7,0.000458,
1.7165,0.000472,
1.7335,0.000486,
1.75,0.000499,
1.7665,0.000513,
1.7835,0.000527,
1.8,0.000541,
1.8165,0.000556,
1.8335,0.00057,
1.85,0.000585,
1.8665,0.0006,
1.8835,0.000615,
1.9,0.00063,
1.9165,0.000645,
1.9335,0.000661,
1.95,0.000677,
1.9665,0.000693,
1.9835,0.000709,
2,0.000725,
2.017,0.000744,
2.033,0.00076,
2.05,0.000777,
2.067,0.000795,
2.083,0.000811,
2.1,0.000829,
2.117,0.000847,
2.133,0.000864,
2.15,0.000883,
2.167,0.000901,
2.183,0.000919,
2.2,0.000937,
2.217,0.000955,
2.233,0.000973,
2.25,0.000992,
2.267,0.001011,
2.283,0.001029,
2.3,0.001048,
2.317,0.001068,
2.333,0.001086,
2.35,0.001106,
2.367,0.001126,
2.383,0.001146,
2.4,0.001166,
2.417,0.001187,
2.433,0.001206,
2.45,0.001227,
2.467,0.001248,
2.483,0.001268,
2.5,0.001289,
2.517,0.00131,
2.533,0.00133,
2.55,0.001351,
2.567,0.001373,
2.583,0.001394,
2.6,0.001416,
2.617,0.001438,
2.633,0.001459,
2.65,0.001481,
2.667,0.001504,
2.683,0.001525,
2.7,0.001548,
2.717,0.00157,
2.733,0.001592,
2.75,0.001615,
2.767,0.001638,
2.783,0.00166,
2.8,0.001683,
2.817,0.001706,
2.833,0.001729,
2.85,0.001753,
2.867,0.001777,
2.883,0.001799,
2.9,0.001823,
2.917,0.001847,
2.933,0.00187,
2.95,0.001895,
2.967,0.00192,
2.983,0.001943,
3,0.001968,
3.017,0.001993,
3.033,0.00203,
3.05,0.00205,
3.067,0.00208,
3.083,0.0021,
3.1,0.00213,
3.117,0.00216,
3.133,0.00218,
3.15,0.00221,
3.167,0.00223,
3.183,0.00226,
3.2,0.00229,
3.217,0.00231,
3.233,0.00234,
3.25,0.00236,
3.267,0.00239,
3.283,0.00241,
3.3,0.00244,
3.317,0.00247,
3.333,0.00249,
3.35,0.00252,
3.367,0.00255,
3.383,0.00257,
3.4,0.0026,
3.417,0.00263,
3.433,0.00265,
3.45,0.00268,
3.467,0.00271,
3.483,0.00274,
3.5,0.00277,
3.517,0.00279,
3.533,0.00282,
3.55,0.00285,
3.567,0.00287,
3.583,0.0029,
3.6,0.00293,
3.617,0.00296,
3.633,0.00299,
3.65,0.00302,
3.667,0.00305,
3.683,0.00307,
3.7,0.0031,
3.717,0.00313,
3.733,0.00316,
3.75,0.00319,
3.767,0.00322,
3.783,0.00325,
3.8,0.00327,
3.817,0.0033,
3.833,0.00333,
3.85,0.00336,
3.867,0.0034,
3.883,0.00342,
3.9,0.00345,
3.917,0.00348,
3.933,0.00351,
3.95,0.00354,
3.967,0.00358,
3.983,0.0036,
4,0.00363,
4.0175,0.00368,
4.0325,0.00371,
4.05,0.00374,
4.0675,0.00377,
4.0825,0.0038,
4.1,0.00383,
4.1175,0.00387,
4.1325,0.0039,
4.15,0.00393,
4.1675,0.00396,
4.1825,0.00399,
4.2,0.00402,
4.2175,0.00405,
4.2325,0.00408,
4.25,0.00412,
4.2675,0.00415,
4.2825,0.00418,
4.3,0.00421,
4.3175,0.00424,
4.3325,0.00427,
4.35,0.00431,
4.3675,0.00434,
4.3825,0.00437,
4.4,0.0044,
4.4175,0.00444,
4.4325,0.00446,
4.45,0.0045,
4.4675,0.00453,
4.4825,0.00456,
4.5,0.0046,
4.5175,0.00463,
4.5325,0.00466,
4.55,0.0047,
4.5675,0.00474,
4.5825,0.00477,
4.6,0.0048,
4.6175,0.00484,
4.6325,0.00487,
4.65,0.00491,
4.6675,0.00494,
4.6825,0.00497,
4.7,0.00501,
4.7175,0.00505,
4.7325,0.00508,
4.75,0.00511,
4.7675,0.00515,
4.7825,0.00518,
4.8,0.00522,
4.8175,0.00525,
4.8325,0.00529,
4.85,0.00532,
4.8675,0.00536,
4.8825,0.00539,
4.9,0.00542,
4.9175,0.00546,
4.9325,0.00549,
4.95,0.00553,
4.9675,0.00556,
4.9825,0.00559,
5,0.00563,
