V_G, I_channel0.0
0.0665,3.70E-08
0.1335,2.40E-08
0.2,1.23E-08
0.2665,9.40E-09
0.3335,1.00E-08
0.4,1.87E-08
0.4665,6.94E-08
0.5335,3.26E-07
0.6,1.31E-06
0.6665,3.96E-06
0.7335,9.20E-06
0.8,1.75E-05
0.8665,2.89E-05
0.9335,4.42E-05
1,6.28E-05
1.0665,8.50E-05
1.1335,0.0001105
1.2,0.0001395
1.2665,0.0001716
1.3335,0.000209
1.4,0.000247
1.4665,0.000288
1.5335,0.000333
1.6,0.000382
1.6665,0.000432
1.7335,0.000486
1.8,0.000541
1.8665,0.0006
1.9335,0.000661
2,0.000725
2.067,0.000795
2.133,0.000864
2.2,0.000937
2.267,0.001011
2.333,0.001086
2.4,0.001166
2.467,0.001248
2.533,0.00133
2.6,0.001416
2.667,0.001504
2.733,0.001592
2.8,0.001683
2.867,0.001777
2.933,0.00187
3,0.001968
3.067,0.00208
3.133,0.00218
3.2,0.00229
3.267,0.00239
3.333,0.00249
3.4,0.0026
3.467,0.00271
3.533,0.00282
3.6,0.00293
3.667,0.00305
3.733,0.00316
3.8,0.00327
3.867,0.0034
3.933,0.00351
4,0.00363
4.0675,0.00377
4.1325,0.0039
4.2,0.00402
4.2675,0.00415
4.3325,0.00427
4.4,0.0044
4.4675,0.00453
4.5325,0.00466
4.6,0.0048
4.6675,0.00494
4.7325,0.00508
4.8,0.00522
4.8675,0.00536
4.9325,0.00549
5,0.00563
