"Vb","Ib","Ie"
0.0,-1.2e-09,-5e-10
0.05,1.24e-08,-4e-10
0.1,1.54e-08,-4e-10
0.15,1.77e-08,-6e-10
0.2,2.09e-08,-7e-10
0.25,2.34e-08,-7e-10
0.3,2.33e-08,-2.1e-09
0.35,2.63e-08,-1.21e-08
0.4,4.55e-08,-7.8e-08
0.45,1.289e-07,-4.62e-07
0.5,4.84e-07,-1.878e-06
0.55,1.169e-06,-4.57e-06
0.6,2.07e-06,-8.12e-06
0.65,3.02e-06,-1.205e-05
0.7,4.04e-06,-1.625e-05
0.75,5.07e-06,-2.07e-05
0.8,6.13e-06,-2.51e-05
0.85,7.19e-06,-2.97e-05
0.9,8.24e-06,-3.43e-05
0.95,9.31e-06,-3.89e-05
1.0,1.039e-05,-4.37e-05
1.05,1.147e-05,-4.85e-05
1.1,1.254e-05,-5.32e-05
1.15,1.361e-05,-5.8e-05
1.2,1.467e-05,-6.27e-05
1.25,1.573e-05,-6.76e-05
1.3,1.68e-05,-7.24e-05
1.35,1.785e-05,-7.72e-05
1.4,1.891e-05,-8.21e-05
1.45,2.03e-05,-8.7e-05
1.5,2.13e-05,-9.19e-05
1.55,2.24e-05,-9.69e-05
1.6,2.35e-05,-0.0001017
1.65,2.45e-05,-0.0001066
1.7,2.56e-05,-0.0001114
1.75,2.66e-05,-0.0001163
1.8,2.77e-05,-0.0001212
1.85,2.87e-05,-0.000126
1.9,2.97e-05,-0.000131
1.95,3.07e-05,-0.0001358
2.0,3.17e-05,-0.0001405
2.05,3.28e-05,-0.0001454
2.1,3.38e-05,-0.0001503
2.15,3.48e-05,-0.0001553
2.2,3.59e-05,-0.0001602
2.25,3.69e-05,-0.0001651
2.3,3.79e-05,-0.00017
2.35,3.89e-05,-0.0001749
2.4,4e-05,-0.0001797
2.45,4.1e-05,-0.0001846
2.5,4.2e-05,-0.0001895
2.55,4.3e-05,-0.0001944
2.6,4.41e-05,-0.0001992
2.65,4.52e-05,-0.0002
2.7,4.62e-05,-0.000205
2.75,4.72e-05,-0.00021
2.8,4.83e-05,-0.000215
2.85,4.93e-05,-0.00022
2.9,5.03e-05,-0.000225
2.95,5.13e-05,-0.000229
3.0,5.23e-05,-0.000235
3.05,5.33e-05,-0.00024
3.1,5.44e-05,-0.000244
3.15,5.53e-05,-0.000249
3.2,5.63e-05,-0.000254
3.25,5.74e-05,-0.000259
3.3,5.84e-05,-0.000264
3.35,5.94e-05,-0.000269
3.4,6.04e-05,-0.000274
3.45,6.13e-05,-0.000278
3.5,6.24e-05,-0.000284
3.55,6.34e-05,-0.000288
3.6,6.44e-05,-0.000293
3.65,6.54e-05,-0.000298
3.7,6.64e-05,-0.000303
3.75,6.74e-05,-0.000308
3.8,6.84e-05,-0.000313
3.85,6.95e-05,-0.000318
3.9,7.04e-05,-0.000322
3.95,7.14e-05,-0.000327
4.0,7.24e-05,-0.000332
4.05,7.35e-05,-0.000337
4.1,7.45e-05,-0.000342
4.15,7.56e-05,-0.000347
4.2,7.66e-05,-0.000352
4.25,7.76e-05,-0.000357
4.3,7.86e-05,-0.000361
4.35,7.96e-05,-0.000366
4.4,8.07e-05,-0.000371
4.45,8.17e-05,-0.000376
4.5,8.28e-05,-0.000381
4.55,8.38e-05,-0.000386
4.6,8.48e-05,-0.000391
4.65,8.59e-05,-0.000396
4.7,8.7e-05,-0.000401
4.75,8.8e-05,-0.000406
4.8,8.91e-05,-0.000411
4.85,9.02e-05,-0.000416
4.9,9.13e-05,-0.000421
4.95,9.24e-05,-0.000426
5.0,9.35e-05,-0.000431
