V_NMOS,I_NMOS
0,1.00E-09
0.0165,1.00E-09
0.0335,1.20E-09
0.05,8.00E-10
0.0665,1.00E-09
0.0835,1.00E-09
0.1,9.00E-10
0.1165,1.30E-09
0.1335,1.10E-09
0.15,1.00E-09
0.1665,9.00E-10
0.1835,1.10E-09
0.2,1.00E-09
0.2165,1.20E-09
0.2335,1.20E-09
0.25,1.60E-09
0.2665,1.70E-09
0.2835,2.00E-09
0.3,2.70E-09
0.3165,3.90E-09
0.3335,5.40E-09
0.35,7.70E-09
0.3665,1.07E-08
0.3835,1.58E-08
0.4,2.36E-08
0.4165,3.45E-08
0.4335,5.19E-08
0.45,7.71E-08
0.4665,1.15E-07
0.4835,1.72E-07
0.5,2.59E-07
0.5165,3.81E-07
0.5335,5.57E-07
0.55,7.92E-07
0.5665,1.11E-06
0.5835,1.54E-06
0.6,2.06E-06
0.6165,2.74E-06
0.6335,3.61E-06
0.65,4.62E-06
0.6665,5.81E-06
0.6835,7.22E-06
0.7,8.80E-06
0.7165,1.06E-05
0.7335,1.27E-05
0.75,1.49E-05
0.7665,1.74E-05
0.7835,2.02E-05
0.8,2.32E-05
0.8165,2.64E-05
0.8335,2.99E-05
0.85,3.36E-05
0.8665,3.75E-05
0.8835,4.18E-05
0.9,4.62E-05
0.9165,5.08E-05
0.9335,5.57E-05
0.95,6.07E-05
0.9665,6.60E-05
0.9835,7.18E-05
1,7.77E-05
1.0165,8.38E-05
1.0335,9.03E-05
1.05,9.68E-05
1.0665,0.0001035
1.0835,0.0001107
1.1,0.0001179
1.1165,0.0001253
1.1335,0.0001331
1.15,0.0001409
1.1665,0.000149
1.1835,0.0001574
1.2,0.0001657
1.2165,0.0001743
1.2335,0.0001833
1.25,0.0001924
1.2665,0.000199
1.2835,0.000208
1.3,0.000218
1.3165,0.000227
1.3335,0.000238
1.35,0.000248
1.3665,0.000258
1.3835,0.00027
1.4,0.00028
1.4165,0.000291
1.4335,0.000303
1.45,0.000314
1.4665,0.000326
1.4835,0.000338
1.5,0.00035
1.5165,0.000363
1.5335,0.000376
1.55,0.000388
1.5665,0.000401
1.5835,0.000414
1.6,0.000427
1.6165,0.000441
1.6335,0.000454
1.65,0.000468
1.6665,0.000482
1.6835,0.000496
1.7,0.00051
1.7165,0.000524
1.7335,0.000539
1.75,0.000553
1.7665,0.000568
1.7835,0.000583
1.8,0.000598
1.8165,0.000613
1.8335,0.000629
1.85,0.000645
1.8665,0.00066
1.8835,0.000676
1.9,0.000692
1.9165,0.000708
1.9335,0.000725
1.95,0.000741
1.9665,0.000758
1.9835,0.000775
2,0.000793
2.017,0.000806
2.033,0.000823
2.05,0.000842
2.067,0.00086
2.083,0.000877
2.1,0.000896
2.117,0.000914
2.133,0.000932
2.15,0.000951
2.167,0.00097
2.183,0.000989
2.2,0.001008
2.217,0.001028
2.233,0.001046
2.25,0.001066
2.267,0.001086
2.283,0.001106
2.3,0.001126
2.317,0.001146
2.333,0.001166
2.35,0.001186
2.367,0.001207
2.383,0.001226
2.4,0.001247
2.417,0.001268
2.433,0.001288
2.45,0.00131
2.467,0.001331
2.483,0.001352
2.5,0.001374
2.517,0.001396
2.533,0.001417
2.55,0.001439
2.567,0.001462
2.583,0.001483
2.6,0.001506
2.617,0.001528
2.633,0.00155
2.65,0.001573
2.667,0.001596
2.683,0.001618
2.7,0.001641
2.717,0.001665
2.733,0.001687
2.75,0.00171
2.767,0.001734
2.783,0.001757
2.8,0.001781
2.817,0.001805
2.833,0.001828
2.85,0.001853
2.867,0.001877
2.883,0.0019
2.9,0.001925
2.917,0.00195
2.933,0.001973
2.95,0.001998
2.967,0.002
2.983,0.00202
3,0.00205
3.017,0.00208
3.033,0.0021
3.05,0.00213
3.067,0.00215
3.083,0.00217
3.1,0.0022
3.117,0.00223
3.133,0.00225
3.15,0.00228
3.167,0.00231
3.183,0.00233
3.2,0.00236
3.217,0.00239
3.233,0.00241
3.25,0.00244
3.267,0.00247
3.283,0.00249
3.3,0.00252
3.317,0.00255
3.333,0.00257
3.35,0.0026
3.367,0.00263
3.383,0.00265
3.4,0.00268
3.417,0.00271
3.433,0.00273
3.45,0.00277
3.467,0.0028
3.483,0.00282
3.5,0.00285
3.517,0.00288
3.533,0.0029
3.55,0.00293
3.567,0.00296
3.583,0.00299
3.6,0.00302
3.617,0.00305
3.633,0.00307
3.65,0.0031
3.667,0.00313
3.683,0.00316
3.7,0.00319
3.717,0.00322
3.733,0.00325
3.75,0.00328
3.767,0.00331
3.783,0.00334
3.8,0.00336
3.817,0.00339
3.833,0.00342
3.85,0.00345
3.867,0.00348
3.883,0.00351
3.9,0.00354
3.917,0.00357
3.933,0.00361
3.95,0.00363
3.967,0.00367
3.983,0.0037
4,0.00373
4.0175,0.00374
4.0325,0.00377
4.05,0.00381
4.0675,0.00384
4.0825,0.00387
4.1,0.0039
4.1175,0.00393
4.1325,0.00396
4.15,0.00399
4.1675,0.00403
4.1825,0.00406
4.2,0.00409
4.2175,0.00412
4.2325,0.00415
4.25,0.00418
4.2675,0.00422
4.2825,0.00425
4.3,0.00428
4.3175,0.00432
4.3325,0.00434
4.35,0.00438
4.3675,0.00441
4.3825,0.00444
4.4,0.00448
4.4175,0.00451
4.4325,0.00454
4.45,0.00458
4.4675,0.00461
4.4825,0.00464
4.5,0.00468
4.5175,0.00471
4.5325,0.00474
4.55,0.00477
4.5675,0.00481
4.5825,0.00484
4.6,0.00487
4.6175,0.00491
4.6325,0.00494
4.65,0.00497
4.6675,0.00501
4.6825,0.00504
4.7,0.00507
4.7175,0.00511
4.7325,0.00514
4.75,0.00517
4.7675,0.00521
4.7825,0.00524
4.8,0.00528
4.8175,0.00531
4.8325,0.00534
4.85,0.00538
4.8675,0.00542
4.8825,0.00545
4.9,0.00549
4.9175,0.00552
4.9325,0.00555
4.95,0.00559
4.9675,0.00563
4.9825,0.00566
5,0.0057
