V_DS, I_channel0.0,-0.01055
0.0085,-0.01054,
0.0175,-0.01054,
0.026,-0.01054,
0.0345,-0.01052,
0.0435,-0.01053,
0.052,-0.01053,
0.0605,-0.01054,
0.0695,-0.01053,
0.078,-0.01054,
0.0865,-0.01052,
0.0955,-0.01052,
0.104,-0.01052,
0.1125,-0.01052,
0.1215,-0.01052,
0.13,-0.01052,
0.1385,-0.01051,
0.1475,-0.0105,
0.156,-0.0105,
0.1645,-0.01051,
0.1735,-0.01051,
0.182,-0.01051,
0.1905,-0.01051,
0.1995,-0.01052,
0.208,-0.01052,
0.2165,-0.01051,
0.2255,-0.01051,
0.234,-0.01051,
0.2425,-0.01051,
0.2515,-0.01051,
0.26,-0.01051,
0.2685,-0.01052,
0.2775,-0.01051,
0.286,-0.01051,
0.2945,-0.01051,
0.3035,-0.01051,
0.312,-0.01051,
0.3205,-0.01052,
0.3295,-0.01051,
0.338,-0.01051,
0.3465,-0.01051,
0.3555,-0.01051,
0.364,-0.01051,
0.3725,-0.01051,
0.3815,-0.01051,
0.39,-0.01051,
0.3985,-0.01051,
0.4075,-0.0105,
0.416,-0.0105,
0.4245,-0.0105,
0.4335,-0.0105,
0.442,-0.0105,
0.4505,-0.0105,
0.4595,-0.0105,
0.468,-0.01047,
0.4765,-0.01048,
0.4855,-0.01048,
0.494,-0.01048,
0.5025,-0.01048,
0.5115,-0.01049,
0.52,-0.01048,
0.5285,-0.01049,
0.5375,-0.01049,
0.546,-0.01048,
0.5545,-0.01049,
0.5635,-0.01048,
0.572,-0.01048,
0.5805,-0.01048,
0.5895,-0.01048,
0.598,-0.01048,
0.6065,-0.01048,
0.6155,-0.01048,
0.624,-0.01048,
0.6325,-0.01048,
0.6415,-0.01048,
0.65,-0.01048,
0.6585,-0.01048,
0.6675,-0.01048,
0.676,-0.01048,
0.6845,-0.01048,
0.6935,-0.01047,
0.702,-0.01047,
0.7105,-0.01047,
0.7195,-0.01047,
0.728,-0.01047,
0.7365,-0.01047,
0.7455,-0.01047,
0.754,-0.01047,
0.7625,-0.01047,
0.7715,-0.01047,
0.78,-0.01047,
0.7885,-0.01047,
0.7975,-0.01047,
0.806,-0.01046,
0.8145,-0.01046,
0.8235,-0.01046,
0.832,-0.01045,
0.8405,-0.01045,
0.8495,-0.01045,
0.858,-0.01045,
0.8665,-0.01045,
0.8755,-0.01045,
0.884,-0.01045,
0.8925,-0.01045,
0.9015,-0.01045,
0.91,-0.01045,
0.9185,-0.01045,
0.9275,-0.01045,
0.936,-0.01045,
0.9445,-0.01045,
0.9535,-0.01045,
0.962,-0.01045,
0.9705,-0.01044,
0.9795,-0.01044,
0.988,-0.01044,
0.9965,-0.01044,
1.0055,-0.01044,
1.014,-0.01044,
1.0225,-0.01044,
1.0315,-0.01044,
1.04,-0.01044,
1.0485,-0.01043,
1.0575,-0.01043,
1.066,-0.01044,
1.0745,-0.01044,
1.0835,-0.01043,
1.092,-0.01043,
1.1005,-0.01042,
1.1095,-0.01043,
1.118,-0.01043,
1.1265,-0.01042,
1.1355,-0.01042,
1.144,-0.01042,
1.1525,-0.01042,
1.1615,-0.01042,
1.17,-0.01042,
1.1785,-0.01042,
1.1875,-0.01042,
1.196,-0.01042,
1.2045,-0.01042,
1.2135,-0.01041,
1.222,-0.01041,
1.2305,-0.01041,
1.2395,-0.01041,
1.248,-0.01041,
1.2565,-0.01041,
1.2655,-0.01041,
1.274,-0.0104,
1.2825,-0.01041,
1.2915,-0.0104,
1.3,-0.0104,
